Period,X1,X2,X3,X4,X5,CR,CLTL,NIS,TETA,ROA,ROE,Indication
2015,0.108131387,0.073128429,0.088045978,0.777618035,0.972021975,1.164236046,0.811490773,0.02694924,0.188665948,0.026195253,0.138844626,Healthy
2016,0.047680652,0.078810526,0.116783189,0.951994372,1.642527441,1.065591192,0.880316021,0.013668065,0.174231996,0.022450172,0.128852178,Healthy
2017,0.039477256,0.084942169,0.074913105,0.59331476,1.064264599,1.053682069,0.892990174,0.013136468,0.176485924,0.013980677,0.079216954,Healthy
2018,0.068166173,0.045927945,0.050296036,0.339791781,0.804100159,1.10023575,0.763138688,0.012199886,0.108866439,0.009809931,0.090109778,Insolvent
2019,0.157105315,0.045387741,0.054109358,0.214913781,0.949880835,1.428571429,0.407855086,0.009365921,0.101202658,0.008896509,0.087907862,Healthy
2015,0.199856874,0.101236331,0.070987953,2.09663366,0.685163695,1.451089609,0.864389874,0.078513078,0.487437774,0.05379431,0.11036139,Healthy
2016,0.133319583,0.112739685,0.085323962,1.648408318,0.636779048,1.280863644,0.904026134,0.082542429,0.474929722,0.052561289,0.11067172,Healthy
2017,0.09855178,0.111388418,0.057426933,1.162741738,0.526791936,1.210921009,0.773705469,0.070030901,0.396094526,0.036891714,0.093138661,Healthy
2018,0.074808258,0.10384264,0.030740726,0.816815478,0.637078603,1.150033546,0.780770708,0.025129782,0.361387147,0.016009647,0.044300542,Insolvent
2019,0.049644846,0.109307466,0.033686566,0.478583066,0.759100197,1.098958388,0.798300165,0.017168631,0.371572279,0.013032711,0.035074497,Insolvent
2015,-0.063762725,0.124429572,0.088047188,1.260496349,0.802699631,0.866053577,0.717753847,0.050491751,0.336776019,0.04052971,0.120346188,Healthy
2016,0.02434299,0.159811495,0.122736947,1.462982656,0.863349444,1.062936237,0.630813745,0.073825217,0.386842559,0.06373696,0.164762017,Healthy
2017,-0.057512169,0.170968022,0.079562402,1.202355171,0.828392574,0.882309088,0.774041871,0.054390285,0.368675902,0.045056508,0.122211698,Healthy
2018,0.147362982,0.187271602,0.071984708,0.840162481,0.740748294,1.428571429,0.517977902,0.043998862,0.336174463,0.032592082,0.096949905,Healthy
2019,0.137089142,0.16379739,0.066615944,0.339538541,0.637388603,1.428571429,0.43858877,0.051069427,0.270672927,0.032551071,0.120259795,Insolvent
